Table of categories with at least 1 items:
+-------------------------------------------+------------+
| category                                  |   n° items |
|-------------------------------------------+------------|
| Books                                     |      46055 |
| Video Games                               |      34681 |
| Games                                     |      23412 |
| More Systems                              |      11467 |
| PC                                        |      10928 |
| Kids & Family                             |       9340 |
| Accessories                               |       7940 |
| Nintendo DS                               |       3213 |
| Wii                                       |       2991 |
| PlayStation 2                             |       2893 |
| Xbox 360                                  |       2649 |
| Hardware                                  |       2140 |
| PlayStation 3                             |       2101 |
| Sony PSP                                  |       1518 |
| PlayStation                               |       1490 |
| Controllers                               |       1371 |
| Xbox                                      |       1334 |
| Game Boy Advance                          |       1219 |
| Mac                                       |       1192 |
| Software                                  |       1005 |
| Cases & Protectors                        |        971 |
| Digital Games                             |        956 |
| PC Game Downloads                         |        952 |
| GameCube                                  |        926 |
| Casual Games                              |        796 |
| Accessory Kits                            |        766 |
| Skins                                     |        764 |
| Children's                                |        688 |
| Super Nintendo                            |        589 |
| Game Boy Color                            |        561 |
| Sega Genesis                              |        547 |
| Cables & Adapters                         |        541 |
| Batteries & Chargers                      |        462 |
| Nintendo 64                               |        445 |
| Nintendo NES                              |        433 |
| Cables                                    |        363 |
| Nintendo 3DS                              |        347 |
| Gamepads                                  |        340 |
| Sega Dreamcast                            |        323 |
| Sports & Outdoors                         |        316 |
| Consoles                                  |        313 |
| Chargers                                  |        310 |
| Game Boy                                  |        305 |
| Fan Shop                                  |        270 |
| Video Games & Accessories                 |        262 |
| Sega Saturn                               |        227 |
| Education & Reference                     |        198 |
| Digital Games & DLC                       |        197 |
| Headsets                                  |        173 |
| Faceplates                                |        170 |
| Remotes                                   |        163 |
| Adapters                                  |        161 |
| Batteries                                 |        155 |
| Electronics                               |        145 |
| Joysticks                                 |        118 |
| Lifestyle & Hobbies                       |        116 |
| Guitars                                   |        106 |
| Early Learning                            |        100 |
| Racing Wheels                             |         99 |
| Sega Game Gear                            |         97 |
| Linux Games                               |         92 |
| PDAs                                      |         88 |
| Gaming Mice                               |         86 |
| Atari 2600                                |         85 |
| Screen Protectors                         |         80 |
| Fitness Accessories                       |         76 |
| Design & Illustration                     |         75 |
| Memory                                    |         72 |
| Computers & Accessories                   |         69 |
| Sega CD                                   |         65 |
| Accessories & Supplies                    |         63 |
| Toys & Games                              |         62 |
| Gaming Keyboards                          |         59 |
| Sega Master System                        |         54 |
| Audio & Video Accessories                 |         50 |
| TurboGrafx 16                             |         50 |
| Home Publishing                           |         45 |
| Wii U                                     |         45 |
| Drums                                     |         44 |
| Cables & Interconnects                    |         39 |
| Intellivision                             |         37 |
| 3DO                                       |         34 |
| Cables & Accessories                      |         32 |
| Flight Controls                           |         29 |
| NEOGEO Pocket                             |         29 |
| Thinking & Problem Solving                |         28 |
| Dance Mats                                |         26 |
| Geography                                 |         26 |
| Microphones                               |         26 |
| Commodore 64                              |         25 |
| United States                             |         25 |
| Carleton                                  |         24 |
| Michigan                                  |         24 |
| Movies & TV                               |         24 |
| Purchase Circles                          |         24 |
| Steering Wheels                           |         24 |
| Electronics for Kids                      |         23 |
| Leisure Sports & Game Room                |         23 |
| Business & Office                         |         22 |
| Home & Kitchen                            |         22 |
| Math                                      |         22 |
| Speakers                                  |         22 |
| Utilities                                 |         21 |
| Networking                                |         20 |
| PlayStation Vita                          |         20 |
| Science                                   |         20 |
| Musical Instruments                       |         19 |
| Music                                     |         18 |
| Reading & Language                        |         18 |
| Sensor Bars                               |         18 |
| Typing                                    |         18 |
| Board Games                               |         17 |
| Gift Cards                                |         17 |
| Movies                                    |         17 |
| CDs & Vinyl                               |         16 |
| Computer Recording                        |         16 |
| Studio Recording Equipment                |         16 |
| Furniture                                 |         15 |
| Atari 7800                                |         14 |
| Computer Components                       |         14 |
| Home Entertainment Furniture              |         14 |
| Atari Lynx                                |         13 |
| Science & Nature                          |         13 |
| Art & Creativity                          |         12 |
| Atari Jaguar                              |         11 |
| Keyboards                                 |         11 |
| Mac Game Downloads                        |         11 |
| Cooking & Health                          |         10 |
| History                                   |         10 |
| Office Products                           |         10 |
| Cell Phones & Accessories                 |          9 |
| Dictionaries                              |          9 |
| Interactive Gaming Figures                |          9 |
| Xbox One                                  |          9 |
| Hunting & Fishing                         |          8 |
| LIVE                                      |          8 |
| Office Electronics                        |          8 |
| Languages                                 |          7 |
| TV                                        |          7 |
| Trading Card Games                        |          7 |
| Commodore Amiga                           |          6 |
| Electronic Toys                           |          6 |
| Headsets & Microphones                    |          6 |
| Maps & Atlases                            |          6 |
| Subscription Cards                        |          6 |
| Video                                     |          6 |
| Video Cables                              |          6 |
| AC Adapters                               |          5 |
| Artwork                                   |          5 |
| Batteries, Chargers & Accessories         |          5 |
| Casino Equipment                          |          5 |
| Decks & Sets                              |          5 |
| Exercise & Fitness                        |          5 |
| Fashion & Beauty                          |          5 |
| Memory Cards                              |          5 |
| PC Maintenance                            |          5 |
| PlayStation 4                             |          5 |
| Poker Equipment                           |          5 |
| Portable Audio & Video                    |          5 |
| Posters & Prints                          |          5 |
| Programming & Web Development             |          5 |
| Religion                                  |          5 |
| Remote Controls                           |          5 |
| TV Remote Controls                        |          5 |
| Test Preparation                          |          5 |
| Video Game Chairs                         |          5 |
| Writing & Literature                      |          5 |
| Atari 5200                                |          4 |
| CAD                                       |          4 |
| Classical                                 |          4 |
