Table of categories with at least 1 items:
+-------------------------------------------+------------+
| category                                  |   n° items |
|-------------------------------------------+------------|
| Books                                     |      67000 |
| Video Games                               |      40000 |
| Games                                     |      27296 |
| PC                                        |      13331 |
| More Systems                              |      12472 |
| Kids & Family                             |      10299 |
| Accessories                               |       8772 |
| Nintendo DS                               |       3486 |
| Wii                                       |       3389 |
| PlayStation 2                             |       3108 |
| Xbox 360                                  |       3070 |
| PlayStation 3                             |       2505 |
| Hardware                                  |       2440 |
| Digital Games                             |       1925 |
| PC Game Downloads                         |       1878 |
| Sony PSP                                  |       1689 |
| PlayStation                               |       1591 |
| Controllers                               |       1511 |
| Xbox                                      |       1426 |
| Casual Games                              |       1367 |
| Mac                                       |       1337 |
| Game Boy Advance                          |       1308 |
| Software                                  |       1075 |
| Cases & Protectors                        |       1067 |
| GameCube                                  |        974 |
| Accessory Kits                            |        816 |
| Skins                                     |        806 |
| Children's                                |        727 |
| Super Nintendo                            |        661 |
| Game Boy Color                            |        593 |
| Cables & Adapters                         |        590 |
| Sega Genesis                              |        589 |
| Batteries & Chargers                      |        519 |
| Nintendo NES                              |        507 |
| Nintendo 64                               |        481 |
| Nintendo 3DS                              |        433 |
| Cables                                    |        397 |
| Consoles                                  |        389 |
| Gamepads                                  |        379 |
| Chargers                                  |        353 |
| Sega Dreamcast                            |        344 |
| Game Boy                                  |        341 |
| Sports & Outdoors                         |        330 |
| Fan Shop                                  |        282 |
| Video Games & Accessories                 |        273 |
| Sega Saturn                               |        254 |
| Digital Games & DLC                       |        242 |
| Headsets                                  |        216 |
| Education & Reference                     |        211 |
| Faceplates                                |        180 |
| Remotes                                   |        180 |
| Adapters                                  |        176 |
| Electronics                               |        172 |
| Batteries                                 |        168 |
| Lifestyle & Hobbies                       |        134 |
| Joysticks                                 |        127 |
| Linux Games                               |        114 |
| Guitars                                   |        111 |
| Racing Wheels                             |        110 |
| Sega Game Gear                            |        109 |
| Gaming Mice                               |        105 |
| Early Learning                            |        103 |
| PDAs                                      |        103 |
| Atari 2600                                |         90 |
| Screen Protectors                         |         89 |
| Design & Illustration                     |         88 |
| Computers & Accessories                   |         86 |
| Memory                                    |         77 |
| Fitness Accessories                       |         76 |
| Sega CD                                   |         73 |
| Accessories & Supplies                    |         72 |
| Commodore 64                              |         72 |
| Toys & Games                              |         71 |
| Mac Game Downloads                        |         70 |
| Gaming Keyboards                          |         68 |
| Audio & Video Accessories                 |         57 |
| Home Publishing                           |         57 |
| Sega Master System                        |         56 |
| Intellivision                             |         55 |
| TurboGrafx 16                             |         55 |
| Wii U                                     |         53 |
| 3DO                                       |         50 |
| PlayStation Vita                          |         48 |
| Cables & Accessories                      |         44 |
| Drums                                     |         44 |
| Cables & Interconnects                    |         43 |
| Flight Controls                           |         40 |
| NEOGEO Pocket                             |         32 |
| Dance Mats                                |         30 |
| Electronics for Kids                      |         30 |
| Thinking & Problem Solving                |         29 |
| Geography                                 |         26 |
| Home & Kitchen                            |         26 |
| Microphones                               |         26 |
| Steering Wheels                           |         26 |
| Movies & TV                               |         25 |
| United States                             |         25 |
| Business & Office                         |         24 |
| Carleton                                  |         24 |
| Michigan                                  |         24 |
| Purchase Circles                          |         24 |
| Leisure Sports & Game Room                |         23 |
| Speakers                                  |         23 |
| Math                                      |         22 |
| Networking                                |         22 |
| Utilities                                 |         22 |
| Commodore Amiga                           |         21 |
| Science                                   |         21 |
| Gift Cards                                |         20 |
| CDs & Vinyl                               |         19 |
| Musical Instruments                       |         19 |
| Reading & Language                        |         19 |
| Sensor Bars                               |         19 |
| Board Games                               |         18 |
| Music                                     |         18 |
| Typing                                    |         18 |
| Movies                                    |         17 |
| Atari 7800                                |         16 |
| Atari Lynx                                |         16 |
| Computer Components                       |         16 |
| Computer Recording                        |         16 |
| Studio Recording Equipment                |         16 |
| Atari Jaguar                              |         15 |
| Furniture                                 |         15 |
| Headsets & Microphones                    |         14 |
| Home Entertainment Furniture              |         14 |
| Science & Nature                          |         14 |
| Art & Creativity                          |         13 |
| History                                   |         12 |
| Cell Phones & Accessories                 |         11 |
| Keyboards                                 |         11 |
| Office Products                           |         11 |
| Cooking & Health                          |         10 |
| Dictionaries                              |         10 |
| Artwork                                   |          9 |
| Hunting & Fishing                         |          9 |
| Interactive Gaming Figures                |          9 |
| PlayStation 4                             |          9 |
| Posters & Prints                          |          9 |
| Xbox One                                  |          9 |
| LIVE                                      |          8 |
| Languages                                 |          8 |
| Office Electronics                        |          8 |
| Subscription Cards                        |          8 |
| TV                                        |          8 |
| Trading Card Games                        |          7 |
| AC Adapters                               |          6 |
| Batteries, Chargers & Accessories         |          6 |
| Electronic Toys                           |          6 |
| Exercise & Fitness                        |          6 |
| Fashion & Beauty                          |          6 |
| Input Devices                             |          6 |
| Maps & Atlases                            |          6 |
| Numeric Keypads                           |          6 |
| PC Headsets                               |          6 |
| Remote Controls                           |          6 |
| TV Remote Controls                        |          6 |
| Video                                     |          6 |
| Video Cables                              |          6 |
| Casino Equipment                          |          5 |
| Classical                                 |          5 |
| Decks & Sets                              |          5 |
| Distribution                              |          5 |
| Memory Cards                              |          5 |
| PC Maintenance                            |          5 |
| Poker Equipment                           |          5 |
| Pop                                       |          5 |
| Portable Audio & Video                    |          5 |
| Programming & Web Development             |          5 |
| Religion                                  |          5 |
| Test Preparation                          |          5 |
| Tools & Home Improvement                  |          5 |
| Video Game Chairs                         |          5 |
| Writing & Literature                      |          5 |
| Action Figures                            |          4 |
| Action Figures & Statues                  |          4 |
| Air Guns                                  |          4 |
| Airsoft, Air Guns & Slingshots            |          4 |
| Apps for Android                          |          4 |
| Atari 5200                                |          4 |
| CAD                                       |          4 |
| Camera & Photo                            |          4 |
| ColecoVision                              |          4 |
| Connectors & Adapters                     |          4 |
| Encyclopedias                             |          4 |
| Fire TV                                   |          4 |
